"","region","village","villageID","AU.ID","IDlong","AU.name","aspect","type"
"1",1,"Graman",1,1,101,"Bhuni Buhi","SE","active"
"2",1,"Graman",1,2,102,"Dharapure","SE","active"
"3",1,"Graman",1,3,103,"Dumad","SE","active"
"4",1,"Graman",1,4,104,"Shalupadhar1","SE","active"
"5",1,"Graman",1,5,105,"Shalupadhar2","SE","active"
"6",1,"Graman",1,6,106,"Shalupadhar3","SE","active"
"7",1,"Graman",1,7,107,"Shalupadhar4","Valley","underused"
"8",1,"Graman",1,8,108,"Kain","NW","active"
"9",1,"Graman",1,9,109,"Bahndin","NW","unused"
"10",1,"Graman",1,10,110,"Palegadh","NW","underused"
"11",1,"Graman",1,11,111,"Rajgadh","NW","active"
"12",1,"Graman",1,12,112,"Raskuti","NW","active"
"13",1,"Graman",1,13,113,"Bhadiyanag","NW","underused"
"14",1,"Graman",1,14,114,"Gungudar","SE","active"
"15",1,"Graman",1,15,115,"Mathiyana","SE","active"
"16",1,"Graman",1,16,116,"Shilang","E","active"
"17",1,"Graman",1,17,117,"Nashyantar","SE","active"
"18",1,"Graman",1,18,118,"Kusmdin","SE","active"
"19",1,"Graman",1,19,119,"Kusumdin old","SE","unused"
"20",1,"Graman",1,20,120,"Bada Phat","S ","active"
"21",1,"Graman",1,21,121,"Bada Phat old","S","unused"
"22",1,"Graman",1,22,122,"Sonal","S ","active"
"23",1,"Graman",1,23,123,"Lippat","S","active"
"24",1,"Graman",1,24,124,"Graman1","SW","unused"
"25",1,"Graman",1,25,125,"Luchandin","SW","active - reversal"
"26",1,"Graman",1,26,126,"Kallad","SW","unused"
"27",1,"Graman",1,27,127,"Pallibhoomi","SW","active"
"28",1,"Badi Bajgaan",2,1,201,"Nayi Paddaar","","active"
"29",1,"Badi Bajgaan",2,2,202,"Shkolang","","active"
"30",1,"Badi Bajgaan",2,3,203,"Chaapak","","active"
"31",1,"Badi Bajgaan",2,4,204,"Khachyaad","","active"
"32",1,"Badi Bajgaan",2,5,205,"Thannersar","","active"
"33",1,"Badi Bajgaan",2,6,206,"Chibdikhaan","","active"
"34",1,"Badi Bajgaan",2,7,207,"Shil","","unused"
"35",1,"Badi Bajgaan",2,8,208,"Shilkutil","","unused"
"36",1,"Badi Bajgaan",2,9,209,"Riyaal","","active"
"37",1,"Badi Bajgaan",2,10,210,"Kathhyaan","","active"
"38",1,"Badi Bajgaan",2,11,211,"Kathhyaan old ","","unused"
"39",1,"Badi Bajgaan",2,12,212,"Bhyaal","","active"
"40",1,"Badi Bajgaan",2,13,213,"Khadakutla","","active"
"41",1,"Badi Bajgaan",2,14,214,"Grammankutla","","active"
"42",1,"Badi Bajgaan",2,15,215,"Thaltukhod","","active"
"43",1,"Badi Bajgaan",2,16,216,"Lhingan","","active"
"44",1,"Badi Bajgaan",2,17,217,"Gadiyaada","","active"
"45",1,"Badi Bajgaan",2,18,218,"Rakn","","active"
"46",1,"Badi Bajgaan",2,19,219,"Gaabdin","","active"
"47",1,"Badi Bajgaan",2,20,220,"Dhaargan","","unused"
"48",1,"Badi Bajgaan",2,21,221,"Baasdar","","underused"
"49",1,"Badi Bajgaan",2,22,222,"Janot","","active - reversal"
"50",1,"Dhamchyan",3,1,301,"Pulechabavale","","active"
"51",1,"Dhamchyan",3,2,302,"Chaav","","active"
"52",1,"Dhamchyan",3,3,303,"Khait","","active"
"53",1,"Dhamchyan",3,4,304,"Naalkewarle","","active"
"54",1,"Dhamchyan",3,5,305,"Shaktor","","active"
"55",1,"Dhamchyan",3,6,306,"Sahawale","","active"
"56",1,"Dhamchyan",3,7,307,"Lahdi Upar","","active"
"57",1,"Dhamchyan",3,8,308,"Lahdi","","unused"
"58",1,"Dhamchyan",3,9,309,"Nalapar","","unused"
"59",1,"Dhamchyan",3,10,310,"Mathhyanakhod","","active"
"60",1,"Dhamchyan",3,11,311,"Ukhalsairi","","active"
"61",1,"Dhamchyan",3,12,312,"Chhamtu","","active"
"62",1,"Dhamchyan",3,14,314,"Ramankutk","","active"
"63",1,"Dhamchyan",3,15,315,"Shikar","","underused"
"64",1,"Dhamchyan",3,16,316,"Kawarapaddar","","underused"
"65",1,"Dhamchyan",3,17,317,"Roopak","","active"
"66",1,"Dhamchyan",3,18,318,"Kahdareeda","","active"
"67",1,"Dhamchyan",3,19,319,"Shil","","active"
"68",1,"Dhamchyan",3,20,320,"Dhangar","","active"
"69",1,"Dhamchyan",3,21,321,"Shord","","active"
"70",1,"Dhamchyan",3,22,322,"Bator2","","active"
"71",1,"Dhamchyan",3,23,323,"Upli Bhuyi","","active"
"72",1,"Dhamchyan",3,24,324,"Bator1","","active"
"73",1,"Dhamchyan",3,25,325,"Kumadda","","active"
"74",1,"Dhamchyan",3,26,326,"Paddhar","","active"
"75",1,"Dhamchyan",3,27,327,"Khol","","active"
